experiment,matrix_name,shape,frobenius_norm
politics_Iran,W_D,"(32, 32)",1.85307776927948
politics_Iran,W_C,"(32, 32)",2.569056987762451
politics_Iran,W_V,"(32,)",0.7640034556388855
politics_Iran,Rea_W1,"(32, 32)",2.3585593700408936
politics_Iran,Rea_b1,"(32,)",0.1724005490541458
politics_Iran,Rea_W2,"(32, 32)",2.3538453578948975
politics_Iran,Rea_b2,"(32,)",0.3685307502746582
politics_Iran,omega,"(1, 1)",0.48787325620651245
politics_Iran,delta,"(1, 1)",0.44206520915031433
politics_Iran,W_D,"(32, 32)",1.9996827840805054
politics_Iran,W_C,"(32, 32)",2.7389121055603027
politics_Iran,W_V,"(32,)",0.5600023865699768
politics_Iran,Rea_W1,"(32, 32)",2.785680055618286
politics_Iran,Rea_b1,"(32,)",0.44170865416526794
politics_Iran,Rea_W2,"(32, 32)",2.83474063873291
politics_Iran,Rea_b2,"(32,)",0.5570104718208313
politics_Iran,omega,"(1, 1)",0.5086546540260315
politics_Iran,delta,"(1, 1)",0.48074281215667725
politics_Iran,W_D,"(32, 32)",2.081989049911499
politics_Iran,W_C,"(32, 32)",2.9077887535095215
politics_Iran,W_V,"(32,)",0.5021340250968933
politics_Iran,Rea_W1,"(32, 32)",2.7940263748168945
politics_Iran,Rea_b1,"(32,)",0.4791605472564697
politics_Iran,Rea_W2,"(32, 32)",2.920938014984131
politics_Iran,Rea_b2,"(32,)",0.5431253910064697
politics_Iran,omega,"(1, 1)",0.5077501535415649
politics_Iran,delta,"(1, 1)",0.484794020652771
technology_AI,W_D,"(32, 32)",2.950753688812256
technology_AI,W_C,"(32, 32)",3.2191359996795654
technology_AI,W_V,"(32,)",0.6912634968757629
technology_AI,Rea_W1,"(32, 32)",3.5178511142730713
technology_AI,Rea_b1,"(32,)",0.5151845216751099
technology_AI,Rea_W2,"(32, 32)",3.3814754486083984
technology_AI,Rea_b2,"(32,)",0.5172998905181885
technology_AI,omega,"(1, 1)",0.5196282267570496
technology_AI,delta,"(1, 1)",0.4894833564758301
